詞彙,釋義,例句
維管,指代維護和管理，通常用於描述對某項事物的後續管理和持續支持工作。,整個產業界負責種的比較多、後續維管卻很少
綱門,生物學上的分類階層,界門綱門科屬種，所以科比綱門大
網民,指通過網際網路參與交流和互動的使用者，常在網上分享觀點和情感。,一隻公袋鼠站在死去的妻兒身旁，用手撫摸屍體，面露哀戚的表情。這一幕讓許多網民感到難過不已。
網拍,指通過互聯網進行的商品拍賣和購物活動。,網拍一堆十幾元的
網紅,「網路紅人」的簡稱。,小美因為她的創意烹飪影片在網路上迅速走紅，成為了一位知名的網紅。
網美,「網路美女」的簡稱。外表亮麗且在社群平台擁有一定的粉絲，後常為了拍攝照片，不顧常理與規定，漸有貶義。,小玲為了成為網美，不惜在禁止拍照的藝術館內擺出各種華麗姿勢，只為了在社群平台上增加粉絲數。
網釣,指透過電子郵件、虛假網站或通訊軟體偽裝成可信任來源，以騙取用戶個人信息或侵入系統的網絡詐騙行為。,該IP在1週內傳送多達1TB的惡意程式、網釣郵件、勒索軟體，以及分散式阻斷服務攻擊等。
網銀,指網路銀行服務，透過互聯網提供的銀行業務平台，用戶可以進行諸如轉賬、查詢餘額、支付帳單等金融操作。,目前有用到的所有行動支付、nfc、網銀等通通都能繞過偵測
網購,透過互聯網平台進行商品或服務的購買行為。,抽驗對象包含網購食品製造業、年菜宴席餐飲業者、販售年節食品業者
腿,網路用語，指延遲或落後於某事件或趨勢，通常用來批評或調侃某人對時事或討論話題反應緩慢。,這半年前就討論過了 醫療資源被排擠的問題，你也腿了太久了吧
舔共,為了利益而討好、諂媚中國。例如為了在中國賺錢，而說自己是中國人的台灣人。「共」是共產黨的意思。,他在訪問中公開舔共，聲稱自己從小認同中國文化，只為了進軍中國市場賺取更多利益。
舔狗,形容在戀愛或人際關係中，對他人過度討好、卑微付出，甚至不惜自尊的人。,兄弟，別再當舔狗了，她連你點的外送都懶得下樓拿。
蓋牌,指故意隱瞞資訊或不公開特定數據，以控制輿論或穩定支持群眾的某種策略。,「蓋牌」和大規模造勢雖穩住了支持者心理，但並未打敗民調。
裸機,未裝入保護殼或保護膜的電子設備，通常指手機等設備，直接觸摸其原始材質。,裸機手感：個人非常喜歡塑膠背板，但是有手汗的情況下邊框會很滑
豪,用於表達感激、讚美或對某事物的高度欣賞，通常表示有勇無懼的態度。,豪，感恩讚嘆，我試試看
豪洨,台語，鬼扯、胡說八道、唬爛的意思。,我聽你在豪洨啦！
趕羚羊,為閩南語中髒話「幹你娘」的諧音，為求以較不粗魯的方式表達此髒話而產生。,當他發現電腦死機時，忍不住大喊了一聲「趕羚羊」。
遜炮,形容平常自信、帥氣，但遇到狀況時就手足無措，甚至哭起來,還以為她是冷硬派，相處久了才發現其實是遜炮一個
酷碰券,英文「Coupon」。即優待券、折價券、折扣券或商品抵用券等。,小明在超市購物時使用了一張酷碰券，省下了不少錢。
酸民,指網路上發表尖酸刻薄言論的網友。也作「酸酸」、「酸」、「酸梅」。多含有貶義。,在這次網路直播活動中，有不少酸民湧入評論區發表各種尖酸刻薄的言論，讓主持人感到相當困擾。
酸酸,參見【酸民】。,自從他成為了一名小有名氣的網紅，日常生活中總會遇到一些酸酸在評論區挑剔他的作品。
銅鋰鋅,指「同理心」,裝修時間都有說了，鄰居擔心安全問題也找專業技師確認背書，無解的噪音問題，鄰居怎麼就沒有銅鋰鋅一下蛤
領便當,角色在劇情中因死亡或失蹤而下場。,唉，我支持的那個角色，才出場幾集就領便當了，編劇也太狠了吧！
儀式感,執行某些動作、建立固定的程序，以幫助自己專注、靜心，或讓自己對特定時刻心有期待。,每個早晨，她都會先泡一杯香醇的咖啡，再打開一本書，這是她開始一天生活的儀式感，讓她感到平和與專注。
劇透,透露劇情，使還未觀賞完整部作品的人預先知道伏筆或結局。一般而言，無預警的劇透被視為不禮貌的行為。,小明在朋友圈裡毫不避諱地劇透了電影的結局，讓大家對他的行為感到非常不滿。
厲害了我的國,用來嘲笑、揶揄、暗諷中共政權的一詞。,網路上剛討論的熱搜話題瞬間消失，厲害了我的國！
噓,使別人安靜，也帶有批評及不支持意味。,演講中，當他提到那句有爭議的話時，觀眾席上開始傳來低沉的「噓」聲，顯示出不滿和反對。
嘴,指在言語上調侃、批評或指出他人的問題。,雖然上次沒嘴過他，但是我現在還是很難相信…
嘴砲,1.沒有目的的閒聊。 2.指某人光說不練，或者話講得很好聽，實際上卻內容空泛毫無建設性。,1. 下班後，我們幾個同事在咖啡廳喝著茶，進行著無傷大雅的嘴砲，好不熱鬧。2. 小明總是嘴砲說要減肥，結果每次聚會都吃得最多。
嘸,表示沒有、找不到或未能成功取得。,今年迄今仍遲遲找嘸人贊助接手，讓他更感吃力。
嘻嘻 / 不嘻嘻,「嘻嘻」通常用來表示輕鬆愉快的心情，帶有一點調皮和俏皮的感覺。而「不嘻嘻」則用來表達不高興、嚴肅或無聊的情緒，是「嘻嘻」的對立詞。,一開始還以為今天能早下班，結果老闆又丟了一堆工作給我，前半段嘻嘻，後半段不嘻嘻。
廠廠,參見【呵呵】。,看到你又忘帶傘，真是廠廠，不過沒關係，我這裡有一把。
德骨,「德國骨科」的簡稱，傳聞有人因與親妹妹相愛被父親發現而被打斷腿，最終遠赴德國骨科治療腿傷才得以痊癒。後因此以德國骨科比喻兄妹戀。,我最喜歡德骨劇情了。
慶記,子彈的台語。源自於網友常常用慶記諷刺台中治安不好。,我看你在台中還這樣鬼切是想吃慶記
憤青,「憤怒青年」的簡稱，多指年齡約二、三十歲，衝動易怒、憤世嫉俗的青年。,每次討論到社會不公的話題，小李總是忍不住暴躁起來，朋友們都戲稱他為標準的「憤青」。
撒狗糧,在單身的人面前秀恩愛,他們又在撒狗糧了，真受不了
撒花,開心到撒花的意思。通常用在說話者想慶祝、發生了令人開心的事情，如「完結撒花」,經過幾個月的準備，終於考上理想學校，簡直讓我忍不住要撒花！
撞,指在某些方面具有高度相似性，常用於形容外貌、風格或特質上的相似，特別是在沒有刻意模仿的情況下。,代表約旦女子跆拳道比賽，竟與百變天后女神卡卡（Lady GaGa）撞臉宛如失散姊妹。
暴走,指失去控制地激烈行動或反應，通常涉及情緒失控或無法自我控制的狀態，常用於形容某人或某物突然變得難以控制的情況。,主角被逼得要駕駛EVA初號機，又打不贏結果初號機暴走，讓主角留下陰影
樓主,社群軟體或網路論壇中，第一個發文開啟話題的人。也作【原PO】。,樓主分享了一張絕美的風景照，瞬間吸引了眾多網友前來留言讚美。
標配,指某事物在特定情境中被普遍認為是必須具備的標準配置或設備。,球棒現在是行車標配
歐巴,韓語「오빠」。臺灣多用以指稱帥氣的青壯年男性。也作「歐爸」。,當玲玲看到那位新來的同事時，忍不住小聲驚呼：「哇，那位歐巴真的好帥啊！」
歐北共,閩南語「黑白講」的讀音，指「亂講話」的意思,一上台就在那邊歐北共，早知道不選他的
歐印,源自股票交易術語，指特定歐洲和印度股市或股票的行情狀況。例句中的「歐印長榮」可能指涉某個在歐洲和印度市場上交易的具體股票或金融產品。,你那邊歐印長榮還來得及，記得225出場
歐虧,指在隨機性事情中進行選擇時，期望獲得好運卻最終得到不利結果的情況，尤其常見於遊戲或抽獎活動中。,這樣歐虧嗎
潮,指符合流行時尚，受多數年輕人喜愛的裝扮或行為。,小明今天穿了一身特別「潮」的衣服，走在街上吸引了不少目光。
澎湃,台灣台語「豐沛（phong-phài）」，種類豐富、數量繁多。,這次聚會的餐點真是澎湃，桌上擺滿了各式各樣的美食，讓人眼花繚亂。
熟肉,指經過翻譯、添加字幕或處理後的日文內容，已轉化為觀眾熟悉的語言（如中文或英文），一般人皆能閱讀或觀賞。,這部劇已經有熟肉了，可以直接看翻譯版
熱～,指該區域或時段發生某事的機率更高，常用詞如「熱區」、「熱時」。,今天天氣報告說下午三點是下雨的熱時，我們出門時還是帶上雨傘吧。
熱搜,指在網絡或社交媒體平台上，因為受到廣泛關注而進入搜索排行榜前列的話題或關鍵詞。,並因捷運環狀線通車，沿線物件備受關注，讓雲端熱搜前5名，全落在新北市
盤一下,盤整一下目前狀況、整理一下、想一下的意思。,我們先盤一下最近的客戶反饋，然後再決定下一步怎麼做。
盤子,容易被欺騙或占便宜的人,這麼貴的價格你也買，根本就是盤子啊！
瞎,指某人或某事十分誇張、離譜且毫無道理，也作【蝦】。,昨天那場比賽的裁判判罰真是瞎，明明犯規的人都已經承認了，他卻還堅持自己的錯誤判斷。
瞎款,台語常見的問候語，意思是「怎樣？」、「覺得如何？」,這咖啡廳的裝潢不錯齁，瞎款？
碼,打馬賽克。,我把照片中的敏感信息都碼掉了，以保護隱私。
線蟲,線蟲即現充（現實充）諧音，多半用來形容有男女朋友者，交際廣泛，財力雄厚現實過得充實的人.,他周末的行程滿檔，朋友間戲稱他是個標準的線蟲，生活充實得令人羨慕。
蔡逼八,指的是不熟悉情況或未做好準備而隨意提問的人，通常帶有輕蔑或批評意味。,問題太大等於沒問啦，蔡逼八，一看就沒做功課
蝦米碗糕,閩南俗語，意指「什麼東西」或「這是什麼」。常用於表示疑惑或不理解某事物的意思。例句中表示對量詞「oz」的疑問或不解。,我每次去摩斯都故意問店員oz是蝦米碗糕
衝康,指陷害行為。,這次專案因為小王的失誤，整個團隊被衝康，導致進度延誤。
衝塔,意思為某些人想強行知道中之人(vtuber背後的扮演者)的樣子,在討論中，大家批評小明因為好奇心而去衝塔，試圖挖掘那位vtuber的真實身份。
課金,指用金錢儲值遊戲,小明在這個遊戲上課金，用來購買稀有角色。
課長,指特定玩家在遊戲中花費大量金錢購買道具或虛擬物品，以支持遊戲開發者或團隊。常見於免費遊戲中，這些玩家的支持能促進遊戲更新與持續運營。,感謝課長大大讓我有遊戲玩
豬隊友,指在團隊合作中因理解力差或行動不當而累事或拖後腿的隊友，通常帶有戲謔或責備的語氣描述不稱職的夥伴。,替醫護爭權益，不用急在一時，否則反落得豬隊友的罵名。
賣萌,展現可愛或俏皮的行為或姿態，以吸引他人注意或喜愛。,條紋臭鼬、刺蝟、鹿兒就像經過梳妝打扮，在鏡頭前賣萌零死角。
踩雷,「雷」指「地雷」。嘗試新事物就像踩地雷一樣結果未知，因此稱為「踩雷」。,我昨天在一家新開的餐廳「踩雷」了，菜色不僅貴還難吃。
躺平,1.躺在床上入睡。 2.對於事態往壞處發展也不在乎，放棄追求更好的生活，這類的人稱為躺平族。,1. 每天忙碌了一整天，回到家只想好好躺平，放鬆身心。2. 小明看到競爭激烈的職場環境，決定選擇躺平，不再盲目追逐升職加薪。
躺平族,不相信努力能得到自己想要的成果，不再追求成功或有更高的成就，得過且過的人。,小明在職場上經歷了一次次失敗後，決定成為躺平族，過起了不再向上爭取的簡單生活。
躺著也中槍,指的是無緣無故受到牽連,明明家裡的碗不是我打破的，媽媽卻先罵我，這波躺著也中槍真的很冤。
躺槍,指在事件或衝突中，無辜受到牽連或遭受損害的人，類似於「不幸躺著中槍」。,幾年下來，「高空拋物」愈演愈烈，無辜躺槍的「鄰居」也悉數增多。
靠北,台語漢字「哭爸」，為華語的音譯，字面上指為死去的父親哭泣。一種較粗魯的用詞。其含義多樣化。,1. 抱怨，如：我就是想靠北警察開我罰單啦。 2. 描述一個人在胡說八道，如：別聽他在那邊靠北。 3. 表達驚訝，如：靠北，嚇死我了。 4. 表示誇張，如：技術強到靠北
髮夾彎,比喻突然的大轉變或政策的急速調整，通常暗示一種反覆或快速的改變方向。,廣大在越南投資的台商以及台灣觀光客絕對是促使越南政府髮夾彎的重要推手。
鬧,鬧事、搞笑、脫序到很有趣的意思。,那部影片實在太鬧了，大家都笑得合不攏嘴。
魯蛇,英文「loser」，失敗者，平凡人用以自嘲。也作「魯」、「魯魯」，用於自稱時作「本魯」、「小魯」。,每次看到朋友們在社交媒體分享他們的成功經驗，我總是忍不住笑著對自己說：「本魯又要加倍努力了！」
壁咚,日文「壁ドン（kabedon）」，「咚」取「ドン（don）」詞音。通常指曖昧、調情的行為。被對方逼至背貼牆面後，對方用單手或雙手拍抵牆壁以限制己方的行動。如：「我被學長壁咚告白了。」、「你該不會是想壁咚他吧？」,在走廊的拐角處，他猛然轉身，將她逼到牆邊，輕輕壁咚，低聲問道：「可以約妳看電影嗎？」
學廢了,與學會了相反，意指學到垃圾或學不會,這門課太難了，我學了半天結果學廢了。
學霸,用來稱呼成績優異或高學歷的人。,小明被同學們尊稱為「學霸」，因為他每次考試總是名列前茅。
撿到槍,意指某人突然講話變得很嗆、行為變得很強勢。就像撿到槍之後勇氣大增，隨時準備開火、誰也不怕一樣。,小李平時很低調，但今天在會議上突然撿到槍，連續反駁了好幾位主管的意見。
機王,電子產品的瑕疵品。,這次購買的手機屏幕總是失靈，簡直就是一個機王。
機車,指該對象十分挑剔、討人厭。貶義詞。,他每次吃飯都要挑三揀四，真是機車極了，讓人大打折扣。
燒,1.延燒、蔓延、引起討論或被批評。 2.生火、引起購買的興趣。,1. 延燒、蔓延、引起討論或被批評：那部電影的主題非常敏感，一下子就在社交媒體上「燒」起來，引發了大規模的討論。2. 生火、引起購買的興趣：那款新手機的廣告做得特別吸引人，一推出就「燒」得大家爭相搶購。
獨角獸,1.指成立不到10年、但資產估值達10億美元以上，且股票未上市的公司。 2.指無法接受偶像擁有伴侶、甚至親密朋友的粉絲。通常多用來指虛擬YouTuber的部分粉絲。,1. 隨著科技快速發展，越來越多的初創公司正努力成為下一個「獨角獸」，吸引投資者的關注。2. 當她得知自己的偶像與他人合作錄製了一段影片，一些「獨角獸」立即湧入社交媒體表示不滿。
盧,台灣台語「 挐（jû/lû）」，無理取鬧，或者用糾纏的方式獲得自己想要的結果。,每次要買玩具，弟弟總是會一直「盧」媽媽，直到她妥協才肯放手。
磚頭,形容電子產品（如智慧型手機、平板電腦等）因為軟體錯誤或硬體故障而毫無反應、無法使用的狀態。簡稱為「磚」。,當我的手機更新完系統後，竟然變成了磚頭，連開機都做不到。
興奮 / 開心到模糊,指心情好到難以形容，像是眼前一片模糊，無法思考清楚。,抽卡直接中SSR，興奮到模糊，感覺靈魂都被幸福衝昏了！
螞蟻人,熱愛甜食的人。,小明是個典型的螞蟻人，這次生日聚會上，他毫不猶豫地吃下了三塊巧克力蛋糕。
親估,一種對朋友、摯友的親切稱呼，類似「親愛的朋友」或「好兄弟姐妹」之意。,祝福親估們 2022 Happy New Year
貓奴,指貓飼主。由於相比起忠心耿耿的狗，多數貓的性格較為我行我素，許多貓飼主因此自嘲「好像貓才是主人，我是牠的奴隸」，因而得名。 意義上與鏟屎官是同義詞。,自從養了三隻貓，我發現自己真正成了一名貓奴，為牠們的需求無時無刻地操勞。
踹共,台灣台語「出來講（tshut-lâi kóng）」的諧音，「踹」是「出來（tshut-lâi）」的連讀諧音。,大家對這個政策有很多疑問，希望政府能夠踹共，把立場說清楚。
遲刻魔,形容經常遲到的人。,再這樣下去，大家會把你當成公司的遲刻魔。
駭,指使用非正當手段，透過程式漏洞修改軟體、盜取資料。,他因嘗試駭公司的內部系統而被警方逮捕。
鴨沒肉,日文やめろ的發音，快住手、不可以的意思。,鴨沒肉！拜託教授不要當我好不好
龜速,行駛或行走速度未達一般正常速度或道路規定之最低時速。如：「龜速行駛」、「龜速車」、「龜速前進」。,在塞車的高速公路上，我們的車只能以龜速前進，讓人十分無奈。
應援,日文「「応援（おうえん）」，加油打氣，表態支持對方。,在演唱會上，粉絲們揮舞著螢光棒，用喊口號和歌聲為偶像應援。
戴綠帽,指被劈腿，通常描述主事者不知情的情況,遠距離愛情最怕的就是被戴綠帽。
蕾絲邊,指女性同志，由英文音譯Lesbian而來。與百合基本上無差異，但也有一說為「蕾絲邊泛指全年齡的女同志，而百合比較偏向青春時的那種純純又甜甜的戀愛。」,妳是蕾絲邊嗎？
薪水小偷,在工作場合偷懶、擺爛或做私事，而沒有貢獻生產力，卻依然領取原來薪水的人,那個專案經理啥事都推給別人，開會只會點頭，根本頂級薪水小偷！
虧,台灣台語「詼（khue）」，指調侃或挖苦。,當阿明說他可以一口氣吃十個飯糰時，大家都在虧他說：「看你還能再多吃幾個？」
虧賊,譯自英語「crazy」，用以比喻很瘋狂,這技術也太虧賊了，單場17殺是怎樣
賽高,源自日語「さいこう」，意思為「最高、最棒的」。形容某樣事物最好、太棒了之類的意思。,百合貼貼！賽高！
鍵盤～,指在網路上透過鍵盤進行操作的人，通常帶有對其言行不負責任或言過其實的含義，如「鍵盤俠」、「鍵盤戰士」。,現在人人都是鍵盤俠，我對IG上不理性的負面留言並不在意
鎂,指美元，源自英文“美金”的諧音，大多用於口語中表達金額。,身邊都有人3年直接到海外拿40萬鎂的offer
顆顆,輕聲地竊笑。也作「科科」、「科」、「ㄎㄎ」。,小明突然想起那天的糗事，忍不住在心裡顆顆笑了起來。
點擊,指用鼠標按壓或手指觸碰設備屏幕來選擇或激活某一功能或內容的動作，常用於描述網頁或影片被用戶訪問、觀看的次數。,在YouTube締造超過6000萬次點擊
點讚,在社交媒體平台上，通過按下特定按鈕表示對內容的喜愛或支持。,附上ig貼文連結叫大家點讚
擷圖,參見【截圖】。,小明在遊戲中達成了新的成就，於是立刻擷圖分享給朋友們。
擺爛,形容對某事物或情況採取消極態度，故意不作為、不改進，任其惡化或維持現狀。,遇到這問題，我一率推薦當個擺爛不做事的幹部
斷片,由於短時間大量飲酒、血液中酒精濃度過高，導致短暫昏迷、失憶的情況。,昨晚的酒會結束後，他發現自己在自己的床上醒來，卻完全斷片，對如何回家的過程一無所知。
歸剛欸,一種表達無奈或不滿的語氣，用於形容某人懶散或不負責任，常讓別人善後。,你東西用完都不收，每次都是我整理，歸剛欸。
濾鏡,指用於改變或增強照片、影像的顏色、亮度和對比效果的工具或效果，一般應用於攝影、影像編輯軟體及社交媒體平台上。例句中描述的「風格濾鏡」指的是一種特定的視覺效果，增加了影像的風格化呈現。,拎著它便自動加上風格濾鏡，多一分輕鬆，也多一分沁涼感。
翻轉,改變先前約定俗成的模式或規矩，通常包含將主動權、權力中心轉移給原先沒有的角色。常用詞如「翻轉教學」、「翻轉性別」。,在這場企業研討會上，他們介紹了一種新的管理模式，試圖翻轉傳統的權力結構，使基層員工在決策過程中擁有更大的發言權。
職人,日文「職人（しょくにん）」。技藝精湛且精益求精的工作者。,在日本，那位咖啡師傅因其出神入化的拉花技藝，而被尊稱為真正的職人。
藍勾勾,指社群帳號經官方認證，該帳號多為公眾人物或企業公司。,名人在那個社交平台上獲得了一個藍勾勾，證明他的帳號經過了官方認證。
藍趴,人很好,你很藍趴
藍瘦香菇,「難受想哭」的搞笑諧音。,最近工作壓力太大，一不小心把文件全刪了，真是藍瘦香菇。
蹦迪,中國大陸網路用語。去夜店的意思。蹦迪中的「迪」字原是指「迪斯可」（Disco），是一種伴隨強烈音樂節奏的自由舞蹈。「蹦迪」也就是「去舞廳跳迪斯可」的意思，也就是「去夜店跳舞」。,Friday night！揪團去蹦迪囉！
醬,「這樣」的連讀，僅在口語中使用。使用時會給人撒嬌的感覺。如：「就醬」、「醬可以嗎？」,「今天的行程我們就醬安排，可以嗎？」
雙11,指每年11月11日的購物節，由中國電商平台阿里巴巴於2009年首創，現已成為全球範圍的線上購物狂歡日，通常有大量折扣和促銷活動。,之後雙11物流應該會卡更嚴重QQ
雙北,指的就是台北和新北。,這次的活動將在雙北同步舉行，讓台北和新北的居民都能參加。
雙重標準,在同樣情況下，依不同的標準檢視，造成不公平的結果。也作「雙標」。,在工作中，他總是對男性和女性員工使用雙重標準，男性的錯誤常被輕易放過，而女性卻被嚴格批評。
雙標,指對同類事情採用雙重標準，對不同人或事物抱持不一致的態度，通常帶有批評意味,別人罵他是暴力，他自己罵別人是正義，這不是雙標，什麼是雙標啊？
雞排,指看戲、看熱鬧。,昨天的球賽結束後，場外發生了爭執，大家紛紛聚集在一起看雞排，熱鬧非凡。
雞腿,指駕駛開車或騎車不遵守交通規則。多含有貶義。,那位司機真是個雞腿，一路上不停闖紅燈，把我們嚇得不輕。
雞鴨,字音同「羈押」而作為「羈押」的用法。,法官宣佈，他將被雞鴨至下次開庭，以確保不會逃逸。
顏值,指一個人外貌的美觀程度或吸引力，通常用來評價一個人的面部用外表。,身家要有幾個億，身高要過180，顏值要贏金城武
顏藝,顏藝是源自日語的詞語，指一種為了營造特定情緒或反應而做出的誇張或搞笑的面部表情，通常在動畫、漫畫或網絡文化中使用。,他在聚會上模仿動畫角色的顏藝，全場都忍不住笑了起來。
勸敗,勸你 buy 下去。勸你買下去。當動詞使用時，就是：鼓勵你、說服你買下去的意思。當形容詞使用時，就是：非常吸引你、讓人看了就很想買的東西。,這個東西非常勸敗欸！
懶人包,一件事的簡單整理，專給想快速了解一件事來龍去脈前因後果的人的最速解答,在選舉之前，他找了一個政治議題的懶人包，以便快速了解各候選人的立場和政策。
懶癌,形容人處於很懶散的狀態，通常懶癌後面會加上末期兩個字形容這個人懶到沒救了，亦有在後面加上發作兩個字的用法。相近詞：懶骨頭,小明：這個六日要不要打線上遊戲啊？ 阿華：算了吧！我的懶癌又發作了！你們玩就好。
爆雷,指被人透漏小說、戲劇等影視作品的結局。,昨天在網上瀏覽評論時，不小心被一條爆雷信息提前知道了電影的結局，真是掃興。
獸控,指對動物角色（特別是擬人化的動物）有強烈興趣或偏愛的人群，常常與動漫、遊戲中的獸化角色相關聯。,獸控是不是都特別有錢啊？
穩交,穩定交往,經過多年的穩交，小美和小明終於計劃攜手步入婚姻殿堂。
穩單,穩單即是「穩定單身中」的縮寫,小李總是說自己目前處於穩單狀態，享受單身生活的自由與自在。
蹭,利用他人的影響力或流行趨勢來獲取關注或利益。,與此同時，中國的綜藝節目也跟著蹭熱度。
邊緣人,朋友很少或在群體中存在感很低的人。,小明總是獨來獨往，加上他性格內向，所以在班裡總被大家當成邊緣人。
鏟肉,指減少體重或減脂，以減輕身體負擔和改善健康狀況。,肥胖不是福 鏟肉癌篩保健康
鏟屎官,指代為寵物（如貓狗）清理排泄物的飼主或照顧者，通常描述他們負責寵物日常生活的細節任務，並帶有一種幽默與寵物親密關係的語感。,得知對方平日忙於工作，她索性自告奮勇，要求擔任鄰居沒空照顧狗時的鏟屎官。
霧煞煞,指人對某事感到非常困惑、不明所以，無法理解其中含義或邏輯。,儘管政府紓困方案盡出，不少民眾「霧煞煞」，勞動部「一九五五勞工諮詢申訴專線」幾乎快被打爆
蘇胡,「舒服」的諧音。,昨晚泡了個熱水澡，全身都覺得蘇胡極了。
覺青,縮寫自「覺醒青年」，通常指熱衷於社會議題或政治改革的年輕人，帶有批判社會現象的熱情。近來則被用作諷刺意味的負面用語，形容一些人在討論社會問題時，缺乏理性或深入思考，只是盲目跟風。,不要做表面功夫的覺青，實際行動更重要。
觸,為英文「True」的中文諧音，表示贊同的意思，非常贊同的話可以用「觸爆」、「觸爛」來形容。,這句話真的是觸爛，不能同意更多
觸爛,英文「true」的意思，表示對某事強烈贊同。根據中肯程度可依序用觸<觸爛<觸爆，來表達認同程度。,這波黑五折扣直接砍半價，還送限量周邊，觸爆啊兄弟！
灌水,1.在聊天室、論壇中發訊息或文章來衝人氣、引起討論。 2.在聊天室、論壇中大量發送無意義或重複的字句、內容貧乏的文章，造成其他使用者的困擾。,在論壇上，原本熱烈的討論因為有人不停地灌水，發布一堆無意義的資訊而被打斷了，讓許多用戶感到困擾。
爛咖,指某方面表現非常差勁或無能的人，常帶有貶義的語氣。,每次團隊合作，他這個爛咖都完全靠不住。
續航,完全充足可使用的能源容量後，不再添加能源的情況下，電子或引擎設備能夠持續運行的能力。如：「電池續航力」、「電動車續航力」。,這款新型智慧手機的續航可以達到兩天，不用擔心頻繁充電。
護國神山,用以稱呼支撐與守護台灣各層面的支柱。由於中央山脈能夠破颱風構造、減弱風雨侵台而被冠上此稱。,颱風來襲時，中央山脈再度扮演了「護國神山」的角色，有效削弱了暴風雨對台灣的威脅。
鐵粉,指對某個品牌、人物、作品等表現出極高熱情和忠誠度的忠實粉絲，通常會積極參與相關活動、購買產品或支持其作品。,漫威蜘蛛人期間限定店主視覺以蜘蛛人呈現，全新推出一系列2021年新品及居家、戶外、 兒童系列商品，要滿足大小蜘蛛人鐵粉。
魔人,指極度專注於某一特定行為或理念，通常帶有過度、偏執或不理性的特徵。在語境中常用以描述對某項原則或想法過於堅持，甚至影響他人者，通常帶有貶義。,兇手是螢幕另一頭惡意評論的人，兇手是所謂的正義魔人，兇手是冷漠，兇手是我們依賴的資訊世代
魔法小卡,指信用卡或支付卡，能給持卡人帶來即時購物能力和便利，特別是在享受折扣、優惠及免運費等購物優惠時。,有現貨出清而且還有折扣，不用等又有優惠，還免運費，只好拿出魔法小卡了
魔法師,用來戲稱超過30歲仍未談過戀愛的男子，常見的用法如「到了30歲還是單身就會轉職成魔法師」。,自從小林30歲生日過後，他的朋友們就開始打趣地稱他為「魔法師」，因為他至今還沒有談過戀愛。
曬,公開展示或炫耀自己所擁有的事物。,小明總喜歡在朋友圈曬他最新買的電子產品，引得大家紛紛點贊。
曬卡,抽卡遊戲玩家抽到稀有角色時的炫耀行為,他每次抽到SSR就在各社團曬卡
蘿莉,泛指6歲至14歲未成年男性,蘿莉真的好可愛
蘿莉控,對年幼女孩具有強烈吸引力或喜好的人，通常用於描述喜歡年輕或動畫中稚嫩女性角色者，起源於日本流行文化。,小李的朋友們都知道他有點蘿莉控，特別喜歡看那些少女主題的動畫。
灣家,台語「吵架」的意思,為了一點小事灣家，真是太不值得了！
ㄅㄧㄤˋ,「不一樣」三字的連音念法。流行的時間大約於2000年前後。,我這裡有個超ㄅㄧㄤˋ的小東西！
ㄍㄧㄥ,硬撐、逞強的台語。,他明明已經累得不行了，卻還在那裡ㄍㄧㄥ說自己沒問題。
ㄎㄧㄤ,形容一個人神情近似喝醉、感覺很失控的樣子，有時也指行為舉止異常、不合常理。也可作為動詞使用。源自於酒瓶碰撞發出的聲音。,昨天聚會上，他喝到整個人都ㄎ一ㄤ了，一直在傻笑。
ㄎㄎ,用於表示輕鬆的笑聲，或是帶有俏皮和調侃意味的笑意。常用於非正式書寫或互聯網聊天中。,說個笑話，飛機這波漲的不是客運 ㄎㄎ
AA,雙方或多方共同分擔費用的一種方式，通常在聚餐、旅行或其他需要支付費用的情況下使用。這種方式強調公平，各付各的。,這次吃飯我們AA吧，各付各的比較方便。
ABC,ABC 的全名是「American/Australian Born Chinese」，也就是指在美國/澳洲出生的華裔,原來他是ABC，難怪說得一口流利英文
AKA,1:also known as 也就是；又作為；又名，用於連接兩個對等的人、事、物。,這位著名的畫家，AKA「現代達文西」，以其多才多藝聞名於世。
BJ4,「不解釋」的諧音。認為某件事情大家都應該知道，不需要多加解釋。帶有不想解釋或是不屑解釋的意味。,他又問為什麼這個笑話好笑，我只能回他BJ4，應該每個人都懂的吧！
BM,Bad Manner（差勁的態度）：通常用於遊戲圈，形容玩家在遊戲中表現不尊重或不禮貌的行為。,這個人全程BM，真想扁他。
buff,能力增強。源自於遊戲界角色歷經一些過程後能力、素質增強。 例句：這主任在玩過ChatGPT後整個研究能力被buff了。,經過這次培訓，他的管理技能明顯被buff了，整個團隊的效率也提高了。
C位,1. 「center位」的簡稱，指團隊中站位位於中心的人，也能指團隊中綜合能力最強的人，多用於明星藝人。 2. 「cover位」的簡稱，指團隊中主要的輸出攻擊角色，多用於線上團體對戰遊戲。,在這次演唱會上，小明站在舞台的C位，他的優秀表現贏得了觀眾的熱烈掌聲。
CC,在華語網絡語境中表示情緒波動，通常用於表達羨慕、嫉妒、或不滿的情感，類似於「吃醋」的意思。,他是最後贏家吧CC
CP,通常指「角色配對」或「搭檔關係」，源自英文詞彙「couple pairing」。在網路文化中，常用來描述兩個個體之間的情感或合作關係。也可作為「性價比」的縮寫，用於描述商品或服務的價值和價格之間的比例。,1. 你要跟我組CP嗎?2. 以價格來看算高CP了
